"trial","nAvandia","avandiaMI","nControl","controlMI"
1,357,2,176,0
2,391,2,207,1
3,774,1,185,1
4,213,0,109,1
5,232,1,116,0
6,43,0,47,1
7,121,1,124,0
8,110,5,114,2
9,382,1,384,0
10,284,1,135,0
11,294,0,302,1
12,563,2,142,0
13,278,2,279,1
14,418,2,212,0
15,395,2,198,1
16,203,1,106,1
17,104,1,99,2
18,212,2,107,0
19,138,3,139,1
20,196,0,96,0
21,122,0,120,1
22,175,0,173,1
23,56,1,58,0
24,39,1,38,0
25,561,0,276,2
26,116,2,111,3
27,148,1,143,0
28,231,1,242,0
29,89,1,88,0
30,168,1,172,0
31,116,0,61,0
32,1172,1,377,0
33,706,0,325,0
34,204,1,185,2
35,288,1,280,0
36,254,1,272,0
37,314,1,154,0
38,162,0,160,0
39,442,1,112,0
40,394,1,124,0
41,2635,15,2634,9
42,1456,27,2895,41
43,101,0,51,0
44,232,0,115,0
45,60,0,60,0
46,185,0,185,0
47,25,0,24,0
48,676,0,225,0
49,2220,43,2227,37
